I, [2019-08-18T10:34:34.911894 #2000]  INFO -- Kitchen: -----> Starting Kitchen (v2.2.5)
E, [2019-08-18T10:34:34.912394 #2000] ERROR -- Kitchen: ------Exception-------
E, [2019-08-18T10:34:34.912473 #2000] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-08-18T10:34:34.912529 #2000] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/jacosta/Engineering3637/InfrastructureAsCode/Uber_Project/App/Nginx_cookbook/kitchen.yml does not exist.
E, [2019-08-18T10:34:34.912581 #2000] ERROR -- Kitchen: ----------------------
E, [2019-08-18T10:34:34.912630 #2000] ERROR -- Kitchen: ------Backtrace-------
E, [2019-08-18T10:34:34.912678 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-08-18T10:34:34.916306 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:152:in `data'
E, [2019-08-18T10:34:34.916389 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:131:in `suites'
E, [2019-08-18T10:34:34.916429 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-08-18T10:34:34.916471 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-08-18T10:34:34.916509 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:117:in `instances'
E, [2019-08-18T10:34:34.916547 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-08-18T10:34:34.916584 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-08-18T10:34:34.916622 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/test.rb:40:in `block in call'
E, [2019-08-18T10:34:34.916667 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2019-08-18T10:34:34.916717 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/test.rb:38:in `call'
E, [2019-08-18T10:34:34.916755 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:52:in `perform'
E, [2019-08-18T10:34:34.916793 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:245:in `test'
E, [2019-08-18T10:34:34.916830 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-08-18T10:34:34.916868 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-08-18T10:34:34.916905 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-08-18T10:34:34.916942 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-08-18T10:34:34.916982 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `block in <top (required)>'
E, [2019-08-18T10:34:34.917024 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-08-18T10:34:34.917061 #2000] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `<top (required)>'
E, [2019-08-18T10:34:34.917099 #2000] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:359:in `load'
E, [2019-08-18T10:34:34.917136 #2000] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:359:in `<main>'
E, [2019-08-18T10:34:34.917208 #2000] ERROR -- Kitchen: ----End Backtrace-----
